topic_id,word_1,prob_1,word_2,prob_2,word_3,prob_3,word_4,prob_4,word_5,prob_5,word_6,prob_6,word_7,prob_7,word_8,prob_8,word_9,prob_9,word_10,prob_10
0,job,0.046436,office,0.027751,make,0.023221,jobs,0.022655,post,0.022088,list,0.019824,working,0.018125,pay,0.01586,day,0.015294,year,0.013029
1,federal,0.030364,dod,0.027266,30,0.024169,government,0.023549,year,0.017973,employees,0.017354,make,0.016734,respond,0.016114,private,0.012397,sure,0.010539
2,debt,0.056316,email,0.055345,response,0.026221,opm,0.02428,number,0.023309,request,0.021367,provide,0.019426,use,0.018455,information,0.017484,credit,0.016513
3,supervisor,0.040004,ll,0.036526,things,0.022034,agency,0.017396,end,0.017396,come,0.016237,won,0.013918,looking,0.013339,best,0.013339,big,0.012179
4,say,0.030233,used,0.019746,probably,0.019129,does,0.017895,lol,0.017279,shit,0.016662,started,0.016045,new,0.015428,op,0.013577,mean,0.01296
5,emily,0.0335,said,0.031673,hr,0.026192,coffee,0.025583,day,0.024365,manager,0.021321,let,0.020712,tell,0.020103,ask,0.017058,business,0.015231
6,right,0.027626,fucking,0.021349,workers,0.020093,world,0.017582,fuck,0.016955,legal,0.016327,gets,0.015699,doing,0.015071,bit,0.013816,report,0.013188
7,ai,0.124702,use,0.034954,doing,0.027012,using,0.024629,information,0.020658,wrong,0.019069,clients,0.019069,sounds,0.018275,thing,0.016687,right,0.015098
8,job,0.030553,josh,0.029307,boss,0.027436,better,0.024943,love,0.021202,got,0.021202,days,0.019332,management,0.019332,person,0.016838,having,0.015591
9,trump,0.152145,com,0.07905,https,0.052701,election,0.044202,www,0.040377,politics,0.022528,news,0.020828,charges,0.020403,2023,0.020403,donald,0.019128
